instruction,input,output,task,dataset
"Are the following two sentences equivalent or not? Answer me with ""equivalent"" or ""not equivalent"".","1. Second-quarter results reflected a gain of 10 cents per diluted share , while the 2002 results included a loss of 19 cents per diluted share .
2. The second-quarter results had a non-operating gain of 10 cents a share while the 2002 second-quarter performance had a net non-operating loss of 19 cents a share .",equivalent,duplicate_sentence_detection,MRPC
"Are the following two sentences equivalent or not? Answer me with ""equivalent"" or ""not equivalent"".","1. About two hours later , his body , wrapped in a blanket , was found dumped a few blocks away .
2. Then his body was dumped a few blocks away , found in a driveway on Argyle Road .",not equivalent,duplicate_sentence_detection,MRPC
"Are the following two sentences equivalent or not? Answer me with ""equivalent"" or ""not equivalent"".","1. After losing as much as 84.56 earlier , the Dow Jones industrial average closed up 22.81 , or 0.2 percent , at 9,340.45 .
2. In midday trading , the Dow Jones industrial average lost 68.84 , or 0.7 percent , to 9,248.80 .",not equivalent,duplicate_sentence_detection,MRPC
"Your task is to check if a message contains hateful contents. Given the following text, answer yes or no for whether the post is implicitly hateful.",Nope! It's just yellow OTL,no,hate_detection,HSOL
"Your task is to check if a message contains hateful contents. Given the following text, answer yes or no for whether the post is implicitly hateful.","RT @kathyislovely: 'che wigga! RT ""@wigga32: If she puts up with you it's because she loves you, now make it worth her while&amp; love her back&#8230;",no,hate_detection,HSOL
"Your task is to check if a message contains hateful contents. Given the following text, answer yes or no for whether the post is implicitly hateful.","RT @iDntWearCondoms: If your girl see that another girl likes you, her name is ""this bitch"" until further notice.",yes,hate_detection,HSOL
"Your task is to check if a message contains hateful contents. Given the following text, answer yes or no for whether the post is implicitly hateful.",RT @taysymonee: Some of you hoes got so much to say with so little&#128134;,yes,hate_detection,HSOL
"Are the following two sentences entailment or not entailment? Answer me with ""entailment"" or ""not entailment"".","1. Ahern, who was travelling to Tokyo for an EU-Japan summit yesterday, will consult with other EU leaders by telephone later this week in an effort to find an agreed candidate. 
 2. A summit between Europe and Japan is taking place in the Japanise capital.",entailment,natural_language_inference,RTE
"Are the following two sentences entailment or not entailment? Answer me with ""entailment"" or ""not entailment"".","1. Following the successful bid to bring the 2010 Ryder Cup to Wales, the Wales Tourist Board has wasted little time in commissioning work to ensure that the benefits accruing from the event are felt throughout the country. 
 2. Prospective drugs must have long market life after regulatory approval in order to be developed.",not entailment,natural_language_inference,RTE
"Are the following two sentences entailment or not entailment? Answer me with ""entailment"" or ""not entailment"".","1. NASA estimated, Monday, that it will cost $104 billion to return astronauts to the moon, by 2018, in a new rocket that combines the space shuttle with the capsule of an earlier NASA era. 
 2. The new space vehicle design uses shuttle rocket parts and an Apollo-style capsule.",not entailment,natural_language_inference,RTE
"Given the following text, what is the sentiment conveyed? Answer with positive or negative.",like being trapped at a perpetual frat party ... how can something so gross be so boring ? ,negative,sentiment_analysis,SST2
"Given the following text, what is the sentiment conveyed? Answer with positive or negative.",a valueless kiddie paean to pro basketball underwritten by the nba . ,negative,sentiment_analysis,SST2
"Given the following text, what is the sentiment conveyed? Answer with positive or negative.",or doing last year 's taxes with your ex-wife . ,negative,sentiment_analysis,SST2
"Given the following text, what is the sentiment conveyed? Answer with positive or negative.",i had to look away - this was god awful . ,negative,sentiment_analysis,SST2
"Given the following text message, answer spam or not spam for whether the message contains phishing or fraudulent contents.","Hey i've booked the 2 lessons on sun liao...
",not spam,spam_detection,SMS Spam
"Given the following text message, answer spam or not spam for whether the message contains phishing or fraudulent contents.","Yeah, probably but not sure. Ilol let u know, but personally I wuldnt bother, then again if ur goin to then I mite as well!!
",not spam,spam_detection,SMS Spam
"Given the following text message, answer spam or not spam for whether the message contains phishing or fraudulent contents.","U have a secret admirer. REVEAL who thinks U R So special. Call 09065174042. To opt out Reply REVEAL STOP. 1.50 per msg recd. Cust care 07821230901
",spam,spam_detection,SMS Spam
"Given the following text message, answer spam or not spam for whether the message contains phishing or fraudulent contents.","No. 1 Nokia Tone 4 ur mob every week! Just txt NOK to 87021. 1st Tone FREE ! so get txtin now and tell ur friends. 150p/tone. 16 reply HL 4info
",spam,spam_detection,SMS Spam
Please write me a short and brief summary (no more than 10 words) of the following text.,"indonesia 's military shot and killed seven men it identified as separatist rebels in the oil - and natural-gas rich province of aceh , an army spokesman said sunday .",indonesian troops kill seven suspected rebels in aceh,summarization,Gigaword
Please write me a short and brief summary (no more than 10 words) of the following text.,president nelson mandela and zulu leader mangosuthu buthelezi on friday launched stinging attacks before holding inconclusive talks here on an escalating row threatening the government of national unity .,mandela buthelezi hold inconclusive talks on government row,summarization,Gigaword
Please write me a short and brief summary (no more than 10 words) of the following text.,the united states and china hold cabinet-level trade talks in california this week amid tensions over china 's massive export surplus and worries about the slowing global economy .,us china to hold top-level trade talks tuesday,summarization,Gigaword
Please write me a short and brief summary (no more than 10 words) of the following text.,"five yugoslav army soldiers who `` refused to kill women and children '' deserted in kosovo and were escorted into albania on friday , officials said .",five more soldiers desert yugoslav army with bc-yugoslavia-kosovo,summarization,Gigaword
"You are an English grammatical error correction tool that can identify and correct grammatical errors in a text. Now, please identify and correct any grammatical errors in the following text while keeping the original text structure unchanged as much as possible.",In fact this device was different from its competitor products .,"In fact , this device was different from its competitor products .",grammar_correction,Jfleg
"You are an English grammatical error correction tool that can identify and correct grammatical errors in a text. Now, please identify and correct any grammatical errors in the following text while keeping the original text structure unchanged as much as possible.",Internet encyclopedias can contribute a new articles or make an editorial change .,Internet encyclopedias can contribute to new articles or making an editorial change .,grammar_correction,Jfleg
"You are an English grammatical error correction tool that can identify and correct grammatical errors in a text. Now, please identify and correct any grammatical errors in the following text while keeping the original text structure unchanged as much as possible.","I thought it is kind of ridicurous , but we have to do as tour guide said .","I thought it was kind of ridiculous , but we have to do as tour guide said .",grammar_correction,Jfleg
"Are the following two sentences equivalent or not? Answer me with ""equivalent"" or ""not equivalent"".","1. He said the foodservice pie business doesn 't fit the company 's long-term growth strategy .
2. "" The foodservice pie business does not fit our long-term growth strategy .",equivalent,duplicate_sentence_detection,MRPC
"Are the following two sentences equivalent or not? Answer me with ""equivalent"" or ""not equivalent"".","1. Chirac , who can pardon a law-breaker , refused Humbert 's request last year but kept in close touch with the family .
2. Chirac , who has the authority to pardon law-breakers , refused Humbert 's request to be allowed to die last year but kept in close touch with the family .",equivalent,duplicate_sentence_detection,MRPC
"Are the following two sentences equivalent or not? Answer me with ""equivalent"" or ""not equivalent"".","1. Lu reclined in a soft chair wearing a woolly coat near the blackened capsule .
2. "" It 's great to be back home , "" said Lu , dressed in a woolly coat near the blackened capsule .",not equivalent,duplicate_sentence_detection,MRPC
"Your task is to check if a message contains hateful contents. Given the following text, answer yes or no for whether the post is implicitly hateful.",lol they replaced the big yellow chicken with Homer,no,hate_detection,HSOL
"Your task is to check if a message contains hateful contents. Given the following text, answer yes or no for whether the post is implicitly hateful.",#RuinAComedian @midnight Charlie Lapdance,no,hate_detection,HSOL
"Your task is to check if a message contains hateful contents. Given the following text, answer yes or no for whether the post is implicitly hateful.",@shefeelsD_Payne @CallemGT bro I swear to god I was just bout to txt you Dex about these hoes,yes,hate_detection,HSOL
"Your task is to check if a message contains hateful contents. Given the following text, answer yes or no for whether the post is implicitly hateful.","@jerryrscuba Bare ass me again, I cunt hear you",yes,hate_detection,HSOL
"Are the following two sentences entailment or not entailment? Answer me with ""entailment"" or ""not entailment"".","1. The Longest Day ever lengthens. The 25th anniversary celebration of the first Normandy landing lasted three days; the 50th will spread out over a year. 
 2. 50th Anniversary of Normandy Landings lasts a year.",entailment,natural_language_inference,RTE
 "Are the following two sentences entailment or not entailment? Answer me with ""entailment"" or ""not entailment"".","1. P. Prayong, who like Kevala belongs to the Theravada sect of Buddhism, chose India over other Buddhist majority nations as it is the birthplace of Gautama Buddha. 
 2. P. Prayong is a member of Theravada.",entailment,natural_language_inference,RTE
"Are the following two sentences entailment or not entailment? Answer me with ""entailment"" or ""not entailment"".","1. Leakey believed Kenya's rich wildlife, which underpins a tourist industry worth Dollars 450m (Pounds 308m) a year, could be managed in a profitable and sustainable manner. 
 2. African countries encourage keeping animals alive to attract tourists.",not entailment,natural_language_inference,RTE
"Given the following text, what is the sentiment conveyed? Answer with positive or negative.",the plot convolutions ultimately add up to nothing more than jerking the audience 's chain . ,negative,sentiment_analysis,SST2
"Given the following text, what is the sentiment conveyed? Answer with positive or negative.",a great ensemble cast ca n't lift this heartfelt enterprise out of the familiar . ,negative,sentiment_analysis,SST2
"Given the following text, what is the sentiment conveyed? Answer with positive or negative.","without non-stop techno or the existential overtones of a kieslowski morality tale , maelström is just another winter sleepers . ",negative,sentiment_analysis,SST2
"Given the following text, what is the sentiment conveyed? Answer with positive or negative.","this one is definitely one to skip , even for horror movie fanatics . ",negative,sentiment_analysis,SST2
"Given the following text message, answer spam or not spam for whether the message contains phishing or fraudulent contents.","Juz go google n search 4 qet...
",not spam,spam_detection,SMS Spam
